group,team
A,Mexico
A,South Africa
A,South Korea
A,UEFA Path D winner
B,Canada
B,UEFA Path A winner
B,Qatar
B,Switzerland
C,Brazil
C,Morocco
C,Haiti
C,Scotland
D,USA
D,Paraguay
D,Australia
D,UEFA Path C winner
E,Germany
E,Curacao
E,Ivory Coast
E,Ecuador
F,Netherlands
F,Japan
F,UEFA Path B winner
F,Tunisia
G,Belgium
G,Egypt
G,Iran
G,New Zealand
H,Spain
H,Cape Verde
H,Saudi Arabia
H,Uruguay
I,France
I,Senegal
I,IC Path 2 winner
I,Norway
J,Argentina
J,Algeria
J,Austria
J,Jordan
K,Portugal
K,IC Path 1 winner
K,Uzbekistan
K,Colombia
L,England
L,Croatia
L,Ghana
L,Panama
