team,confederation,method,date
Canada,CONCACAF,Hosts,14 February 2023
Mexico,CONCACAF,Hosts,14 February 2023
USA,CONCACAF,Hosts,14 February 2023
Japan,AFC,AFC third round Group C winners,20 March 2025
New Zealand,OFC,OFC third round winners,24 March 2025
Iran,AFC,AFC third round Group A winners,25 March 2025
Argentina,CONMEBOL,CONMEBOL winners,25 March 2025
Uzbekistan,AFC,AFC third round Group A runners-up,5 June 2025
South Korea,AFC,AFC third round Group B winners,5 June 2025
Jordan,AFC,AFC third round Group B runners-up,5 June 2025
Australia,AFC,AFC third round Group C runners-up,10 June 2025
Brazil,CONMEBOL,CONMEBOL fifth place,10 June 2025
Ecuador,CONMEBOL,CONMEBOL runners-up,10 June 2025
Uruguay,CONMEBOL,CONMEBOL fourth place,4 September 2025
Colombia,CONMEBOL,CONMEBOL third place,4 September 2025
Paraguay,CONMEBOL,CONMEBOL sixth place,4 September 2025
Morocco,CAF,CAF Group E winners,5 September 2025
Tunisia,CAF,CAF Group H winners,8 September 2025
Egypt,CAF,CAF Group A winners,8 October 2025
Algeria,CAF,CAF Group G winners,9 October 2025
Ghana,CAF,CAF Group I winners,12 October 2025
Cape Verde,CAF,CAF Group D winners,13 October 2025
South Africa,CAF,CAF Group C winners,14 October 2025
Qatar,AFC,AFC fourth round Group A winners,14 October 2025
England,UEFA,UEFA Group K winners,14 October 2025
Saudi Arabia,AFC,AFC fourth round Group B winners,14 October 2025
Ivory Coast,CAF,CAF Group F winners,14 October 2025
Senegal,CAF,CAF Group B winners,14 October 2025
France,UEFA,UEFA Group D winners,13 November 2025
Croatia,UEFA,UEFA Group L winners,14 November 2025
Portugal,UEFA,UEFA Group F winners,16 November 2025
Norway,UEFA,UEFA Group I winners,16 November 2025
Germany,UEFA,UEFA Group A winners,17 November 2025
Netherlands,UEFA,UEFA Group G winners,17 November 2025
Belgium,UEFA,UEFA Group J winners,18 November 2025
Austria,UEFA,UEFA Group H winners,18 November 2025
Switzerland,UEFA,UEFA Group B winners,18 November 2025
Spain,UEFA,UEFA Group E winners,18 November 2025
Scotland,UEFA,UEFA Group C winners,18 November 2025
Panama,CONCACAF,CONCACAF Group A winners,18 November 2025
Haiti,CONCACAF,CONCACAF Group C winners,18 November 2025
Curacao,CONCACAF,CONCACAF Group B winners,18 November 2025
