city,stadium,country
"Dallas ( Arlington, Texas )",AT&T Stadium  (Dallas Stadium),United States
Mexico City,Estadio Banorte  (Mexico City Stadium),Mexico
"New York/New Jersey ( East Rutherford, New Jersey )",MetLife Stadium (New York New Jersey Stadium),United States
Atlanta,Mercedes-Benz Stadium  (Atlanta Stadium),United States
Kansas City,GEHA Field at Arrowhead Stadium (Kansas City Stadium),United States
Houston,NRG Stadium  (Houston Stadium),United States
"San Francisco Bay Area ( Santa Clara, California )",Levi's Stadium (San Francisco Bay Area Stadium),United States
"Los Angeles ( Inglewood, California )",SoFi Stadium (Los Angeles Stadium),United States
Philadelphia,Lincoln Financial Field (Philadelphia Stadium),United States
Seattle,Lumen Field (Seattle Stadium),United States
"Boston ( Foxborough, Massachusetts )",Gillette Stadium (Boston Stadium),United States
"Miami ( Miami Gardens, Florida )",Hard Rock Stadium (Miami Stadium),United States
Vancouver,BC Place  (BC Place Vancouver),Canada
Monterrey ( Guadalupe ),Estadio BBVA (Estadio Monterrey),Mexico
Guadalajara ( Zapopan ),Estadio Akron (Estadio Guadalajara),Mexico
Toronto,BMO Field (Toronto Stadium),Canada
